,Číslo záznamu,Typ záznamu,Je součást čeho (číslo záznamu),"typ díla (celé dílo, úryvek, antologie, souborné dílo)",Vztah k originálu (překlad vs. adaptace),Druh adaptace (slovem),Autor/ka + kód autority,Název díla dle titulu (v příslušném písmu),Údaje o odpovědnosti a další informace,Původní název,Jazyk díla,Výchozí jazyk ,Zprostředkovací jazyk,Údaje o zprostředkovacím díle,"Město vydání, země vydání, nakladatel","Edice, svazek",Údaje o časopiseckém vydání,Počet stran,Rok,ISBN,Překladatel/ka,Zdroj či odkaz,Volná poznámka,tecnická poznámka
426,427,část knihy,415.0,celé dílo,překlad,,,Piano sociologico : Inizio dell'era nuova (1948-50),,Sociologický půdorys,ita ,cze,,,,,,,,,,,,
427,428,část knihy,415.0,celé dílo,překlad,,,Appunti per una fenomenologia dell'arte moderna (1950-51),,Originál neznámý,ita ,cze,,,,,,,,,,,,
428,429,část knihy,415.0,celé dílo,překlad,,,Risposte all'inchiesta sull'arte moderna e il surrealismo (1951),,Odpovědi na anketu o moderním umění a surrealismu,ita ,cze,,,,,,,,,,,,
429,430,kniha,,souborné dílo,překlad,,"Teige, Karel (jk01132144)",Arte e ideologia (1922-1933),,Originál neexistuje,ita ,cze,,,Torino (Itálie) : Einaudi,,,332.0,1982.0,,"Corduas, Sergio § D'Amelia, Antonella § Zane, Barbara",http://id.sbn.it/bid/RAV0018944,,
430,431,část knihy,430.0,celé dílo,překlad,,,La nuova arte proletaria (1922),,Nové umění proletářské ,ita ,cze,,,,,,,,,,,,
431,432,část knihy,430.0,celé dílo,překlad,,,Il costruttivismo e la liquidazione dell'arte (1925),,Konstruktivismus a likvidace umění,ita ,cze,,,,,,,,,,,,
432,433,část knihy,430.0,celé dílo,překlad,,,Il neoplasticismo e il suprematismo (1926),,Neoplasticismus a supermatismus,ita ,cze,,,,,,,,,,,,
433,434,část knihy,430.0,celé dílo,překlad,,,L'arte figurativa della Russia sovietica (1927),,Výtvarná práce sovětského Ruska,ita ,cze,,,,,,,,,,,,
434,435,část knihy,430.0,celé dílo,překlad,,,"Astrattismo, surrealismo, artificialismo (1928)",,"Abstraktivismus, nadrealismus, artificielismus",ita ,cze,,,,,,,,,,,,
435,436,část knihy,430.0,celé dílo,překlad,,,F. T. Marinetti + modernismo italiano + futurismo mondiale (1929),,F. T. Marinetti + italská moderna + světový futurismus,ita ,cze,,,,,,,,,,,,
436,437,část knihy,430.0,celé dílo,překlad,,,Sull'estetica dell film (1929),,K estetice filmu,ita ,cze,,,,,,,,,,,,
437,438,část knihy,430.0,celé dílo,překlad,,,Cinematografia sovietica (1930),,Sovětská kinematografie,ita ,cze,,,,,,,,,,,,
438,439,část knihy,430.0,celé dílo,překlad,,,Sul fotomontaggio (1932),,O fotomontáži,ita ,cze,,,,,,,,,,,,
439,440,část knihy,430.0,celé dílo,překlad,,,Anti-Corbusier (1929-31),,Originál neznámý,ita ,cze,,,,,,,,,,,,
440,441,část knihy,430.0,celé dílo,překlad,,,Sulla teoria del costruttivismo (1928),,K teorii konstruktivismu,ita ,cze,,,,,,,,,,,,
441,442,část knihy,430.0,celé dílo,překlad,,,Architettura e lotta di classe (1930),,Architektura a třídní boj,ita ,cze,,,,,,,,,,,,
442,443,část knihy,430.0,celé dílo,překlad,,,Sulla storia della produzione moderna (1933) ,,K dějiným moderní tvorby,ita ,cze,,,,,,,,,,,,
443,444,část knihy,430.0,celé dílo,překlad,,,Manifesto del poetismo (1928),,Manifest poetismu,ita ,cze,,,,,,,,,,,,
444,445,část knihy,430.0,celé dílo,překlad,,,"Poesia, mondo, uomo (1930)",,"Báseň, svět, člověk",ita ,cze,,,,,,,,,,,,
445,446,kniha,,souborné dílo,překlad,,,"Architettura, Poesia : Praga 1900-1951",,Originál neexistuje,ita ,cze,,,Milano (Itálie) : Electa,,,332.0,1996.0,88-435-5743-2,"Brignole, Francesco",http://id.sbn.it/bid/VEA0082907,,
446,447,část knihy,446.0,celé dílo,překlad,,,Il poetismo,,Originál neznámý,ita ,cze,,,,,,,,,,,,
447,448,část knihy,446.0,celé dílo,překlad,,,L'architettura,,Originál neznámý,ita ,cze,,,,,,,,,,,,
448,449,část knihy,446.0,celé dílo,překlad,,,Il Palazzo dei Soviet,,Originál neznámý,ita ,cze,,,,,,,,,,,,
449,450,část knihy,446.0,celé dílo,překlad,,,I Collages,,Originál neznámý,ita ,cze,,,,,,,,,,,,
450,451,kniha,,souborné dílo,překlad,,"Pavel, Ota (jk01092027)",Il grande vagabondo delle acque,Postfazione di Bohumil Svozil,Originál neexistuje,ita ,cze,,,Roma (Itálie) : e/o,,,121.0,1994.0,88-7641-222-0,"Zane, Barbara",http://id.sbn.it/bid/LO10349826,,
451,452,část knihy,451.0,celé dílo,překlad,,,Il più caro dell'Europa centrale,,Nejdražší ve střední Evropě,ita ,cze,,,,,,,,,,,,
452,453,část knihy,451.0,celé dílo,překlad,,,Al servizio della Svezia,,Ve službách Švédska,ita ,cze,,,,,,,,,,,,
453,454,část knihy,451.0,celé dílo,překlad,,,La morte dei capricoli belli,,Smrt krásných srnců,ita ,cze,,,,,,,,,,,,
454,455,část knihy,451.0,celé dílo,překlad,,,Carpe per la Wehrmacht,,Kapři pro wermacht,ita ,cze,,,,,,,,,,,,
455,456,část knihy,451.0,celé dílo,překlad,,,Quella volta che ci scontrammo con i Lupi,,Jak jsme se střetli s Vlky,ita ,cze,,,,,,,,,,,,
456,457,část knihy,451.0,celé dílo,překlad,,,Problema insetti risolto,,Otázka hmyzu vyřešena,ita ,cze,,,,,,,,,,,,
457,458,část knihy,451.0,celé dílo,překlad,,,Il grande vagabondo delle acque,,Velký vodní tulák,ita ,cze,,,,,,,,,,,,
458,459,část knihy,451.0,celé dílo,překlad,,,La caccia all'aspio predatore,,Lov bolena dravého,ita ,cze,,,,,,,,,,,,
459,460,část knihy,451.0,celé dílo,překlad,,,I pesciolini secchi,,Uschlé rybičky,ita ,cze,,,,,,,,,,,,
460,461,část knihy,451.0,celé dílo,překlad,,,I conigli dagli occhi saggi ,,Králíčci s modrýma očima,ita ,cze,,,,,,,,,,,,
461,462,kniha,,celé dílo,překlad,,"Pavel, Ota (jk01092027)",La morte dei capricoli belli,Postfazione di Mariusz Szczygieł,Smrt krásných srnců,ita ,cze,,,Rovereto (Itálie) : Keller,,,158.0,2013.0,978-88-89767-37-5,"Zane, Barbara",http://id.sbn.it/bid/UBO4008760,,
462,463,kniha,,celé dílo,překlad,,"Pavel, Ota (jk01092027)",Come ho incontrato pesci ,,Jak jsem potkal ryby,ita ,cze,,,Rovereto (Itálie) : Keller,,,263.0,2017.0,"
978-88-99911-14-0","Zane, Barbara",http://id.sbn.it/bid/PUV1480180,,
463,464,kniha,,celé dílo,překlad,,"Tučková, Kateřina (mzk2006348534)",L'eredità delle dee,,Žitkovské bohyně,ita ,cze,,,Firenze (Itálie) : Nikita,,,482.0,2011.0,978-88-95812-15-1,"Angeloni, Laura",http://id.sbn.it/bid/PUV1335412,,
464,465,kniha,,celé dílo,překlad,,"Zmeškal, Tomáš (xx0084376)",Lettera d'amore in scrittura cuneiforme,Prefazione di Alessandro Catalano,Milostný dopis klínovým písmem,ita ,cze,,,Pordenone (Itálie) : Safarà,,,383.0,2016.0,978-88-97561-32-3,"Angeloni, Laura",http://id.sbn.it/bid/VEA1202282,,
465,466,kniha,,celé dílo,překlad,,"Hostovský, Egon (jk01042403)",Le spie,,The midnight patient,ita ,eng,,,Milano (Itálie) : A. Garzanti,,,269.0,1958.0,,"Giraldo, Elda",http://id.sbn.it/bid/SBL0486135,,
466,467,kniha,,celé dílo,překlad,,"Bondy, Egon (jk01012610)",Fratelli invalidi,,Invalidní sourozenci,ita ,cze,,,Milano (Itálie) : Elèuthera,,,240.0,1993.0,88-85861-41-5,"Ferrario, Andrea",http://id.sbn.it/bid/LO10321785,,
467,468,kniha,,celé dílo,překlad,,"Halas, František (jk01033200)",Imagena,,Básně,ita ,cze,,,Torino (Itálie) : Einaudi,,,270.0,1971.0,,"Ripellino, Angela Maria",http://id.sbn.it/bid/BRI0002513,,
468,469,kniha,,souborné dílo,překlad,,"Holan, Vladimír (jk01041653)",Una notte con Amleto. Una notte con Ofelia e altre poesie,,Originál neexistuje,ita ,cze,,,Torino (Itálie) : Einaudi,,,230.0,1993.0,88-06-12980-5,"Ripellino, Angela Maria § Ripellino, Ela",http://id.sbn.it/bid/UBO0107982,,
469,470,část knihy,469.0,celé dílo,překlad,,,Una notte con Ofelia,,Originál neznámý,ita ,cze,,,,,,,,,,,,
470,471,část knihy,469.0,celé dílo,překlad,,,Una notte con Amleto,,Originál neznámý,ita ,cze,,,,,,,,,,,,
471,472,kniha,,souborné dílo,překlad,,"Holan, Vladimír (jk01041653)",A tutto silenzio : Poesie (1961-1967),Introduzione di Vladimír Justl; versi italiani di Giovanni Raboni e Marco Ceriani,Originál neexistuje,ita ,cze,,,Milano (Itálie) : Mandadori,,,137.0,2005.0,88-04-48494-2,"Fesslová, Vlasta",http://id.sbn.it/bid/UBO2680865,,
472,473,část knihy,472.0,celé dílo,překlad,,,Non sai,,Nevíš,ita ,cze,,,,,,,,,,,,
473,474,část knihy,472.0,celé dílo,překlad,,,Ma noi,,Ale my,ita ,cze,,,,,,,,,,,,
474,475,část knihy,472.0,celé dílo,překlad,,,Quante volte,,Kolikrát,ita ,cze,,,,,,,,,,,,
475,476,část knihy,472.0,celé dílo,překlad,,,Invito,,Pozvání,ita ,cze,,,,,,,,,,,,
476,477,část knihy,472.0,celé dílo,překlad,,,Non ci sarà,,Nebude,ita ,cze,,,,,,,,,,,,
477,478,část knihy,472.0,celé dílo,překlad,,,Veglia e sa,,Bdí a ví,ita ,cze,,,,,,,,,,,,
478,479,část knihy,472.0,celé dílo,překlad,,,Epppure noi,,A přece my ,ita ,cze,,,,,,,,,,,,
479,480,část knihy,472.0,celé dílo,překlad,,,Non bastiamo,,Nestačíme ,ita ,cze,,,,,,,,,,,,
480,481,část knihy,472.0,celé dílo,překlad,,,Così solo noi,,To jenom my ,ita ,cze,,,,,,,,,,,,
481,482,část knihy,472.0,celé dílo,překlad,,,Avendo speranza ,,Maje naději,ita ,cze,,,,,,,,,,,,
482,483,část knihy,472.0,celé dílo,překlad,,,Ma il santo,,Ale světec,ita ,cze,,,,,,,,,,,,
483,484,část knihy,472.0,celé dílo,překlad,,,Anche la paura,,Také hrůza,ita ,cze,,,,,,,,,,,,
484,485,část knihy,472.0,celé dílo,překlad,,,La puttana,,Nevěstka,ita ,cze,,,,,,,,,,,,
485,486,část knihy,472.0,celé dílo,překlad,,,E qualcuno,,A někdo,ita ,cze,,,,,,,,,,,,
486,487,část knihy,472.0,celé dílo,překlad,,,Fratello e sorella,,Bratr a sestra,ita ,cze,,,,,,,,,,,,
487,488,část knihy,472.0,celé dílo,překlad,,,Castigo,,Trest,ita ,cze,,,,,,,,,,,,
488,489,část knihy,472.0,celé dílo,překlad,,,Noi che aspettiamo,,My čekající,ita ,cze,,,,,,,,,,,,
489,490,část knihy,472.0,celé dílo,překlad,,,Coito,,Soulož,ita ,cze,,,,,,,,,,,,
490,491,část knihy,472.0,celé dílo,překlad,,,Superbia di donna,,Pýcha ženy,ita ,cze,,,,,,,,,,,,
491,492,část knihy,472.0,celé dílo,překlad,,,Ottobre,,Říjen,ita ,cze,,,,,,,,,,,,
492,493,část knihy,472.0,celé dílo,překlad,,,Fino alla ginocchia,,Až po kolena,ita ,cze,,,,,,,,,,,,
493,494,část knihy,472.0,celé dílo,překlad,,,Si tratta della mela,,Jde o jablko,ita ,cze,,,,,,,,,,,,
494,495,část knihy,472.0,celé dílo,překlad,,,Forse,,Možná,ita ,cze,,,,,,,,,,,,
495,496,část knihy,472.0,celé dílo,překlad,,,Oggidì,,Dneska,ita ,cze,,,,,,,,,,,,
496,497,část knihy,472.0,celé dílo,překlad,,,"E voi, voi che fate...",,"Ano, ale co vy...",ita ,cze,,,,,,,,,,,,
497,498,část knihy,472.0,celé dílo,překlad,,,Il golfino,,Svetýrek,ita ,cze,,,,,,,,,,,,
498,499,část knihy,472.0,celé dílo,překlad,,,La letteratura,,Četba,ita ,cze,,,,,,,,,,,,
499,500,část knihy,472.0,celé dílo,překlad,,,Fedeltà,,Věrnost,ita ,cze,,,,,,,,,,,,
500,501,část knihy,472.0,celé dílo,překlad,,,Gia dovrebbe essere qui,,Už by tu měla být,ita ,cze,,,,,,,,,,,,
501,502,část knihy,472.0,celé dílo,překlad,,,Bambini,,Děti,ita ,cze,,,,,,,,,,,,
502,503,část knihy,472.0,celé dílo,překlad,,,In perpetuo?,,Ustavičně?,ita ,cze,,,,,,,,,,,,
503,504,část knihy,472.0,celé dílo,překlad,,,Soltanto,,Jenom,ita ,cze,,,,,,,,,,,,
504,505,část knihy,472.0,celé dílo,překlad,,,La luna,,Lůna,ita ,cze,,,,,,,,,,,,
505,506,část knihy,472.0,celé dílo,překlad,,,Anche,,Také,ita ,cze,,,,,,,,,,,,
506,507,část knihy,472.0,celé dílo,překlad,,,Dialogo,,Dialog,ita ,cze,,,,,,,,,,,,
507,508,část knihy,472.0,celé dílo,překlad,,,Pure,,Však také,ita ,cze,,,,,,,,,,,,
508,509,část knihy,472.0,celé dílo,překlad,,,La voce I,,Hlas I,ita ,cze,,,,,,,,,,,,
509,510,část knihy,472.0,celé dílo,překlad,,,Ogni,,Každý,ita ,cze,,,,,,,,,,,,
510,511,část knihy,472.0,celé dílo,překlad,,,Soltanto dopo,,Teprve potom,ita ,cze,,,,,,,,,,,,
511,512,část knihy,472.0,celé dílo,překlad,,,Danajah,,Danajah,ita ,cze,,,,,,,,,,,,
512,513,část knihy,472.0,celé dílo,překlad,,,"Notte, amica mia...",,"Noci, má přítelkyně...",ita ,cze,,,,,,,,,,,,
513,514,část knihy,472.0,celé dílo,překlad,,,Vergine,,Panna,ita ,cze,,,,,,,,,,,,
514,515,část knihy,472.0,celé dílo,překlad,,,Che-,,Že-,ita ,cze,,,,,,,,,,,,
515,516,část knihy,472.0,celé dílo,překlad,,,Una ragazza,,Dívka,ita ,cze,,,,,,,,,,,,
516,517,část knihy,472.0,celé dílo,překlad,,,Il deserto,,Poušť,ita ,cze,,,,,,,,,,,,
517,518,část knihy,472.0,celé dílo,překlad,,,Moto ,,Pohyb,ita ,cze,,,,,,,,,,,,
518,519,část knihy,472.0,celé dílo,překlad,,,L'assassino,,Vrah,ita ,cze,,,,,,,,,,,,
519,520,část knihy,472.0,celé dílo,překlad,,,La morte,,Smrt,ita ,cze,,,,,,,,,,,,
520,521,část knihy,472.0,celé dílo,překlad,,,Di nuovo nessuna,,Zas žádný,ita ,cze,,,,,,,,,,,,
521,522,část knihy,472.0,celé dílo,překlad,,,Confini,,Pomezí,ita ,cze,,,,,,,,,,,,
522,523,část knihy,472.0,celé dílo,překlad,,,Dissi,,Řekl jsem,ita ,cze,,,,,,,,,,,,
523,524,část knihy,472.0,celé dílo,překlad,,,Ma anche tu,,Ale i ty,ita ,cze,,,,,,,,,,,,
524,525,část knihy,472.0,celé dílo,překlad,,,Di giorni così aridi,,O suchých dnech,ita ,cze,,,,,,,,,,,,
525,526,část knihy,472.0,celé dílo,překlad,,,Più penoso,,Mají to těžší,ita ,cze,,,,,,,,,,,,
526,527,část knihy,472.0,celé dílo,překlad,,,Perche?,,Proč?,ita ,cze,,,,,,,,,,,,
527,528,část knihy,472.0,celé dílo,překlad,,,Tutto questo,,To všechno,ita ,cze,,,,,,,,,,,,
528,529,část knihy,472.0,celé dílo,překlad,,,Come,,Jako,ita ,cze,,,,,,,,,,,,
529,530,část knihy,472.0,celé dílo,překlad,,,Il paese natio,,Rodný kraj,ita ,cze,,,,,,,,,,,,
530,531,část knihy,472.0,celé dílo,překlad,,,Alcun sole,,Žádné slunce,ita ,cze,,,,,,,,,,,,
531,532,část knihy,472.0,celé dílo,překlad,,,E poi,,A pak,ita ,cze,,,,,,,,,,,,
532,533,část knihy,472.0,celé dílo,překlad,,,I suoi abissi,,Jeho propasti,ita ,cze,,,,,,,,,,,,
533,534,část knihy,472.0,celé dílo,překlad,,,Avvento,,Advent,ita ,cze,,,,,,,,,,,,
534,535,část knihy,472.0,celé dílo,překlad,,,Chissa?,,Kdo ví?,ita ,cze,,,,,,,,,,,,
535,536,část knihy,472.0,celé dílo,překlad,,,Nada II,,Nada II,ita ,cze,,,,,,,,,,,,
536,537,část knihy,472.0,celé dílo,překlad,,,Senza,,Bez,ita ,cze,,,,,,,,,,,,
537,538,část knihy,472.0,celé dílo,překlad,,,La polvere,,Prach,ita ,cze,,,,,,,,,,,,
538,539,část knihy,472.0,celé dílo,překlad,,,Paura I,,Strach I,ita ,cze,,,,,,,,,,,,
539,540,část knihy,472.0,celé dílo,překlad,,,Righe I,,Řádky I,ita ,cze,,,,,,,,,,,,
540,541,část knihy,472.0,celé dílo,překlad,,,Ma...,,Ale...,ita ,cze,,,,,,,,,,,,
541,542,část knihy,472.0,celé dílo,překlad,,,Come tutto...,,Co všechno...,ita ,cze,,,,,,,,,,,,
542,543,část knihy,472.0,celé dílo,překlad,,,Nessuno,,Nikdo,ita ,cze,,,,,,,,,,,,
543,544,část knihy,472.0,celé dílo,překlad,,,A notte fonda,,Hluboko v noci,ita ,cze,,,,,,,,,,,,
544,545,část knihy,472.0,celé dílo,překlad,,,Sempre,,Stále,ita ,cze,,,,,,,,,,,,
545,546,část knihy,472.0,celé dílo,překlad,,,Forse sì,,Asi ano,ita ,cze,,,,,,,,,,,,
546,547,část knihy,472.0,celé dílo,překlad,,,A tutto fulmine,,Na celý hrom,ita ,cze,,,,,,,,,,,,
547,548,část knihy,472.0,celé dílo,překlad,,,Nel profondo,,Hluboko,ita ,cze,,,,,,,,,,,,
548,549,část knihy,472.0,celé dílo,překlad,,,Di lontananza in lontananza,,Z dálky do dálky,ita ,cze,,,,,,,,,,,,
549,550,část knihy,472.0,celé dílo,překlad,,,La gazza,,Straka,ita ,cze,,,,,,,,,,,,
550,551,část knihy,472.0,celé dílo,překlad,,,Abyssus abyssum,,Abyssus abyssum,ita ,cze,,,,,,,,,,,,
551,552,část knihy,472.0,celé dílo,překlad,,,Alle nozze,,Na svatbě,ita ,cze,,,,,,,,,,,,
552,553,část knihy,472.0,celé dílo,překlad,,,O tempo di silenzi...,,Ó dopo ticha...,ita ,cze,,,,,,,,,,,,
553,554,část knihy,472.0,celé dílo,překlad,,,A chi?,,Komu?,ita ,cze,,,,,,,,,,,,
554,555,část knihy,472.0,celé dílo,překlad,,,Ciecamente,,Slepě ,ita ,cze,,,,,,,,,,,,
555,556,část knihy,472.0,celé dílo,překlad,,,Solo,,Sám,ita ,cze,,,,,,,,,,,,
556,557,část knihy,472.0,celé dílo,překlad,,,Il colore,,Barva,ita ,cze,,,,,,,,,,,,
557,558,část knihy,472.0,celé dílo,překlad,,,In autuno,,Na podzim ,ita ,cze,,,,,,,,,,,,
558,559,část knihy,472.0,celé dílo,překlad,,,Non piangere!,,Neplač!,ita ,cze,,,,,,,,,,,,
559,560,část knihy,472.0,celé dílo,překlad,,,Vanitas,,Vanitas,ita ,cze,,,,,,,,,,,,
560,561,část knihy,472.0,celé dílo,překlad,,,Nelle fondamenta,,V základech,ita ,cze,,,,,,,,,,,,
561,562,část knihy,472.0,celé dílo,překlad,,,Chi mai sa,,Kdopak ví,ita ,cze,,,,,,,,,,,,
562,563,část knihy,472.0,celé dílo,překlad,,,A nessun fulmine,,Nažádný hrom,ita ,cze,,,,,,,,,,,,
563,564,část knihy,472.0,celé dílo,překlad,,,Può non essere,,Nemusí,ita ,cze,,,,,,,,,,,,
564,565,část knihy,472.0,celé dílo,překlad,,,Supplica,,Prosba,ita ,cze,,,,,,,,,,,,
565,566,část knihy,472.0,celé dílo,překlad,,,Anche l'assassino,,I vrah,ita ,cze,,,,,,,,,,,,
566,567,část knihy,472.0,celé dílo,překlad,,,Senza dubbio,,Docela jistě,ita ,cze,,,,,,,,,,,,
567,568,část knihy,472.0,celé dílo,překlad,,,Per quanto ancora,,Na jak dlouho,ita ,cze,,,,,,,,,,,,
568,569,část knihy,472.0,celé dílo,překlad,,,Speranza?,,Naděje?,ita ,cze,,,,,,,,,,,,
569,570,část knihy,472.0,celé dílo,překlad,,,A tutto silenzio ,,Na celé ticho,ita ,cze,,,,,,,,,,,,
570,571,část knihy,472.0,celé dílo,překlad,,,Elegia,,Elegie,ita ,cze,,,,,,,,,,,,
571,572,část knihy,472.0,celé dílo,překlad,,,L'abisso dell'abisso III,,Prospast propasti III,ita ,cze,,,,,,,,,,,,
572,573,část knihy,472.0,celé dílo,překlad,,,Mercoledì delle ceneri,,Popelec,ita ,cze,,,,,,,,,,,,
573,574,část knihy,472.0,celé dílo,překlad,,,Invocat in voce,,Invocat in voce,ita ,cze,,,,,,,,,,,,
574,575,část knihy,472.0,celé dílo,překlad,,,Exercitium,,Exercicie,ita ,cze,,,,,,,,,,,,
575,576,část knihy,472.0,celé dílo,překlad,,,Luccichio,,Třpyt,ita ,cze,,,,,,,,,,,,
576,577,část knihy,472.0,celé dílo,překlad,,,Dell'invecchiare,,Stárnutí,ita ,cze,,,,,,,,,,,,
577,578,část knihy,472.0,celé dílo,překlad,,,Ti spiace,,Lituješ,ita ,cze,,,,,,,,,,,,
578,579,část knihy,472.0,celé dílo,překlad,,,Solo così,,Jen tak,ita ,cze,,,,,,,,,,,,
579,580,část knihy,472.0,celé dílo,překlad,,,Amor fati I,,Amor fati I,ita ,cze,,,,,,,,,,,,
580,581,část knihy,472.0,celé dílo,překlad,,,Tu,,Ty,ita ,cze,,,,,,,,,,,,
581,582,část knihy,472.0,celé dílo,překlad,,,Afa I,,Vedro I,ita ,cze,,,,,,,,,,,,
582,583,část knihy,472.0,celé dílo,překlad,,,Afa II,,Vedro II,ita ,cze,,,,,,,,,,,,
583,584,část knihy,472.0,celé dílo,překlad,,,Sera,,Večer,ita ,cze,,,,,,,,,,,,
584,585,část knihy,472.0,celé dílo,překlad,,,"Una volta, e adesso",,Kdysi i teď,ita ,cze,,,,,,,,,,,,
585,586,část knihy,472.0,celé dílo,překlad,,,In nessun dove,,Nikam,ita ,cze,,,,,,,,,,,,
586,587,část knihy,472.0,celé dílo,překlad,,,La pioggia,,Déšť,ita ,cze,,,,,,,,,,,,
587,588,část knihy,472.0,celé dílo,překlad,,,Ma forse,,Ale možná,ita ,cze,,,,,,,,,,,,
588,589,část knihy,472.0,celé dílo,překlad,,,Senza,,Aniž,ita ,cze,,,,,,,,,,,,
589,590,část knihy,472.0,celé dílo,překlad,,,Contro I,,Proti I,ita ,cze,,,,,,,,,,,,
590,591,část knihy,472.0,celé dílo,překlad,,,A Dio piacendo,,V dopuštění,ita ,cze,,,,,,,,,,,,
591,592,část knihy,472.0,celé dílo,překlad,,,Test I,,Test I,ita ,cze,,,,,,,,,,,,
592,593,část knihy,472.0,celé dílo,překlad,,,Anche per questo,,Také proto,ita ,cze,,,,,,,,,,,,
593,594,část knihy,472.0,celé dílo,překlad,,,Paura,,Strach,ita ,cze,,,,,,,,,,,,
594,595,část knihy,472.0,celé dílo,překlad,,,Fortuna che,,Ještě že,ita ,cze,,,,,,,,,,,,
595,596,část knihy,472.0,celé dílo,překlad,,,Dite...,,Říkáte,ita ,cze,,,,,,,,,,,,
596,597,část knihy,472.0,celé dílo,překlad,,,Versi I,,Verše I,ita ,cze,,,,,,,,,,,,
597,598,část knihy,472.0,celé dílo,překlad,,,Muro I,,Zeď I,ita ,cze,,,,,,,,,,,,
598,599,část knihy,472.0,celé dílo,překlad,,,Con aqua ragia (I-II),,Lučavkou (I-III),ita ,cze,,,,,,,,,,,,
599,600,část knihy,472.0,celé dílo,překlad,,,Ombre,,Stíny,ita ,cze,,,,,,,,,,,,
600,601,část knihy,472.0,celé dílo,překlad,,,Amor fati II,,Amor fati II,ita ,cze,,,,,,,,,,,,
601,602,část knihy,472.0,celé dílo,překlad,,,In una notte di pioggia,,Za deštivé noci,ita ,cze,,,,,,,,,,,,
602,603,část knihy,472.0,celé dílo,překlad,,,Di qui,,Zdejší ,ita ,cze,,,,,,,,,,,,
603,604,část knihy,472.0,celé dílo,překlad,,,Ballata,,Balada,ita ,cze,,,,,,,,,,,,
604,605,část knihy,472.0,celé dílo,překlad,,,Egitto,,Egypt,ita ,cze,,,,,,,,,,,,
605,606,část knihy,472.0,celé dílo,překlad,,,Ahimè!,,Běda!,ita ,cze,,,,,,,,,,,,
606,607,část knihy,472.0,celé dílo,překlad,,,Tu?,,Ty?,ita ,cze,,,,,,,,,,,,
607,608,část knihy,472.0,celé dílo,překlad,,,Gioia I,,Radost I,ita ,cze,,,,,,,,,,,,
608,609,část knihy,472.0,celé dílo,překlad,,,Per sè,,Pro sebe,ita ,cze,,,,,,,,,,,,
609,610,část knihy,472.0,celé dílo,překlad,,,Non posso,,Nesmím,ita ,cze,,,,,,,,,,,,
610,611,část knihy,472.0,celé dílo,překlad,,,Una poesia,,Báseň,ita ,cze,,,,,,,,,,,,
611,612,část knihy,472.0,celé dílo,překlad,,,De Tartaro libidinis I,,De Tartaro libidinis I,ita ,cze,,,,,,,,,,,,
612,613,část knihy,472.0,celé dílo,překlad,,,De Tartaro libidinis II,,De Tartaro libidinis II,ita ,cze,,,,,,,,,,,,
613,614,část knihy,472.0,celé dílo,překlad,,,Le possibilità,,Možnosti ,ita ,cze,,,,,,,,,,,,
614,615,část knihy,472.0,celé dílo,překlad,,,Ali?,,Křídla?,ita ,cze,,,,,,,,,,,,
615,616,část knihy,472.0,celé dílo,překlad,,,Tempesta,,Bouře,ita ,cze,,,,,,,,,,,,
616,617,část knihy,472.0,celé dílo,překlad,,,Può darsi? (i-II),,Možná (I-II),ita ,cze,,,,,,,,,,,,
617,618,část knihy,472.0,celé dílo,překlad,,,Ospite,,Hostem,ita ,cze,,,,,,,,,,,,
618,619,část knihy,472.0,celé dílo,překlad,,,La belle dame sans merci,,La belle dame sans merci,ita ,cze,,,,,,,,,,,,
619,620,část knihy,472.0,celé dílo,překlad,,,Al vento di maggio,,Při větru májovém...,ita ,cze,,,,,,,,,,,,
620,621,část knihy,472.0,celé dílo,překlad,,,Davvero,,Opravdu,ita ,cze,,,,,,,,,,,,
621,622,část knihy,472.0,celé dílo,překlad,,,Davvero?,,Opravdu?,ita ,cze,,,,,,,,,,,,
622,623,část knihy,472.0,celé dílo,překlad,,,Da sè solo ,,Samo,ita ,cze,,,,,,,,,,,,
623,624,část knihy,472.0,celé dílo,překlad,,,Di là anche,,I odtamtud,ita ,cze,,,,,,,,,,,,
624,625,část knihy,472.0,celé dílo,překlad,,,Così,,Také proto,ita ,cze,,,,,,,,,,,,
625,626,část knihy,472.0,celé dílo,překlad,,,Perchè dovrebbe?,,Proč by?,ita ,cze,,,,,,,,,,,,
626,627,část knihy,472.0,celé dílo,překlad,,,Non sappiamo niente,,Nevíme nic,ita ,cze,,,,,,,,,,,,
627,628,část knihy,472.0,celé dílo,překlad,,,Sangue,,Krev,ita ,cze,,,,,,,,,,,,
628,629,část knihy,472.0,celé dílo,překlad,,,Albero,,Strom,ita ,cze,,,,,,,,,,,,
629,630,část knihy,472.0,celé dílo,překlad,,,Noviziato,,Novicitát,ita ,cze,,,,,,,,,,,,
630,631,část knihy,472.0,celé dílo,překlad,,,Si chiude,,Zavírá se,ita ,cze,,,,,,,,,,,,
631,632,část knihy,472.0,celé dílo,překlad,,,Versi II,,Verše II,ita ,cze,,,,,,,,,,,,
632,633,část knihy,472.0,celé dílo,překlad,,,Quando il destino,,Když odtud,ita ,cze,,,,,,,,,,,,
633,634,část knihy,472.0,celé dílo,překlad,,,Forse II,,Snad II,ita ,cze,,,,,,,,,,,,
634,635,část knihy,472.0,celé dílo,překlad,,,Più,,Víc ,ita ,cze,,,,,,,,,,,,
